theta0_degrees,theta_reference_degrees,theta_segment_degrees,delta_reference_degrees,delta_reference_abs_degrees,delta_segment_degrees,delta_segment_abs_degrees,segment_reference_error_degrees,segment_reference_error_abs_degrees,angle_decomposition_residual,tau0,family_plain,forward_arc_iota_degrees,backward_arc_iota_degrees,s_ref_min,s_ref_max,q_ref_min,q_ref_max,q_ref_abs_max,lateral_width_reference_path,longitudinal_width_reference_path,required_strip_width,required_strip_width_one_sided
25.0,98.07181000630752,85.9183829686515,-73.07181000630752,73.07181000630752,-60.91838296865151,60.91838296865151,-12.153427037656009,12.153427037656009,0.0,1,C,60.91838296865151,0.0,-1.730774833982511e-16,0.5463201955272269,-0.502589273365417,3.609453644439088e-16,0.502589273365417,0.5025892733654174,0.5463201955272271,0.9325892733654173,0.717589273365417
25.5,98.07181000630752,85.84502180605463,-72.5718100063075,72.5718100063075,-60.34502180605463,60.34502180605463,-12.226788200252875,12.226788200252875,0.0,1,C,60.34502180605463,0.0,7.794549180502477e-18,0.543516707091273,-0.4962867617601767,5.4961194620316486e-17,0.4962867617601767,0.4962867617601768,0.543516707091273,0.9262867617601768,0.7112867617601767
26.0,98.07181000630752,85.77213024871084,-72.07181000630752,72.07181000630752,-59.77213024871084,59.77213024871084,-12.299679757596676,12.299679757596676,0.0,1,C,59.77213024871084,0.0,-9.433329087962803e-17,0.5406661365612371,-0.4900010559816632,1.2551148760163792e-16,0.4900010559816632,0.4900010559816633,0.5406661365612372,0.9200010559816634,0.7050010559816632
26.5,98.07181000630752,85.69971547095378,-71.5718100063075,71.5718100063075,-59.19971547095376,59.19971547095376,-12.372094535353742,12.372094535353742,0.0,1,C,59.19971547095376,0.0,-1.730774833982511e-16,0.5377687178622412,-0.4837326619889537,3.609453644439088e-16,0.4837326619889537,0.4837326619889541,0.5377687178622415,0.9137326619889541,0.6987326619889537
27.0,98.07181000630752,85.62778454142628,-71.07181000630752,71.07181000630752,-58.62778454142628,58.62778454142628,-12.444025464881236,12.444025464881236,0.0,1,C,58.62778454142628,0.0,-1.0212784006013049e-16,0.5348246875161234,-0.47748208443802254,7.055029298132144e-17,0.47748208443802254,0.4774820844380226,0.5348246875161236,0.9074820844380226,0.6924820844380225
27.5,98.07181000630752,85.5563444221656,-70.57181000630752,70.57181000630752,-58.05634442216561,58.05634442216561,-12.51546558414191,12.51546558414191,0.0,1,C,58.05634442216561,0.0,-1.652829342177486e-16,0.5318342846214638,-0.47124982662804404,4.159065590642253e-16,0.47124982662804404,0.47124982662804443,0.5318342846214639,0.9012498266280444,0.686249826628044
28.0,98.07181000630752,85.48540196773902,-70.07181000630752,70.07181000630752,-57.48540196773902,57.48540196773902,-12.586408038568488,12.586408038568488,0.0,1,C,57.48540196773902,0.0,1.5589098361004953e-17,0.5287977508340397,-0.4650363904479342,1.0992238924063297e-16,0.4650363904479342,0.4650363904479343,0.5287977508340397,0.8950363904479344,0.6800363904479342
28.5,98.07181000630752,85.41496392442946,-69.5718100063075,69.5718100063075,-56.91496392442945,56.91496392442945,-12.65684608187806,12.65684608187806,0.0,1,C,56.91496392442946,0.0,1.5589098361004953e-17,0.525715330347663,-0.4588422763231381,1.0992238924063297e-16,0.4588422763231381,0.45884227632313823,0.525715330347663,0.8888422763231383,0.6738422763231381
29.0,98.07181000630752,85.34503692947155,-69.07181000630752,69.07181000630752,-56.34503692947155,56.34503692947155,-12.726773076835965,12.726773076835965,0.0,1,C,56.34503692947155,0.0,-1.652829342177486e-16,0.5225872698754305,-0.452667983162689,4.159065590642253e-16,0.452667983162689,0.4526679831626894,0.5225872698754306,0.8826679831626894,0.667667983162689
29.5,98.07181000630752,85.27562751033706,-68.57181000630752,68.57181000630752,-55.77562751033705,55.77562751033705,-12.796182495970452,12.796182495970452,0.0,1,C,55.77562751033705,0.0,1.5589098361004953e-17,0.5194138186313627,-0.4465140083065433,1.0992238924063297e-16,0.4465140083065433,0.4465140083065434,0.5194138186313627,0.8765140083065435,0.6615140083065433
30.0,98.07181000630752,85.20674208407038,-68.07181000630752,68.07181000630752,-55.20674208407038,55.20674208407038,-12.865067922237134,12.865067922237134,0.0,1,C,55.20674208407038,0.0,-1.730774833982511e-16,0.5161952283124218,-0.4403808474732141,3.609453644439088e-16,0.4403808474732141,0.4403808474732145,0.516195228312422,0.8703808474732144,0.6553808474732141
30.5,98.07181000630752,85.13838695667313,-67.57181000630752,67.57181000630752,-54.63838695667313,54.63838695667313,-12.933423049634383,12.933423049634383,0.0,1,C,54.63838695667313,0.0,1.5589098361004953e-17,0.5129317530809278,-0.43426899470771474,1.0992238924063297e-16,0.43426899470771474,0.43426899470771485,0.5129317530809278,0.8642689947077149,0.6492689947077147
