theta0_degrees,theta_tangent_degrees,theta_error_degrees,theta_error_abs_degrees,tau0,family_plain,forward_arc_iota_degrees,backward_arc_iota_degrees,s_min,s_max,q_min,q_max,q_abs_max,lateral_width_reference,longitudinal_width_reference,required_corridor_width,candidate_disk_distance_max,candidate_disk_residual_max
210.5,78.7354575769449,131.7645424230551,131.7645424230551,-1,CbC,90.00000000000003,41.76454242305511,-1.0843506756077987e-17,0.9182543970159811,-0.48769391764871817,0.24450117103626312,0.48769391764871817,0.7321950886849813,0.9182543970159811,1.1621950886849812,0.7321950886849808,0.0
211.0,78.78540094616626,132.21459905383372,132.21459905383372,-1,CbC,89.99999999999996,42.21459905383376,-1.0796047045960676e-17,0.922102027081382,-0.49196870830470313,0.24022638038027697,0.49196870830470313,0.7321950886849801,0.922102027081382,1.1621950886849801,0.732195088684981,1.1102230246251565e-16
211.5,78.83501705665749,132.6649829433425,132.6649829433425,-1,CbC,89.99999999999999,42.66498294334247,-2.1497780394970142e-17,0.9259859507045303,-0.4962162196091592,0.2359788690758213,0.4962162196091592,0.7321950886849805,0.9259859507045303,1.1621950886849806,0.7321950886849808,0.0
212.0,78.88430262884414,133.11569737115585,133.11569737115585,-1,CbC,90.00000000000001,43.11569737115582,-1.3034358998903795e-16,0.9299060293228166,-0.500436153151153,0.23175893553382793,0.500436153151153,0.7321950886849808,0.9299060293228167,1.1621950886849808,0.732195088684981,1.1102230246251565e-16
212.5,78.93325438073641,133.56674561926357,133.56674561926357,-1,CbC,90.00000000000001,43.56674561926358,-1.1961325650580964e-16,0.9338621222972521,-0.5046282103441849,0.22756687834079597,0.5046282103441849,0.7321950886849808,0.9338621222972522,1.1621950886849808,0.732195088684981,1.1102230246251565e-16
213.0,78.98186902796704,134.01813097203296,134.01813097203296,-1,CbC,90.00000000000003,44.01813097203293,-2.1218539923706837e-17,0.9378540868950307,-0.5087920924324412,0.2234029962525399,0.5087920924324412,0.7321950886849811,0.9378540868950307,1.162195088684981,0.7321950886849808,0.0
213.5,79.03014328383213,134.46985671616787,134.46985671616787,-1,CbC,90.00000000000001,44.46985671616786,-1.3012035532350078e-16,0.9418817782719189,-0.5129275004972997,0.219267588187681,0.5129275004972997,0.7321950886849807,0.941881778271919,1.1621950886849808,0.732195088684981,1.1102230246251565e-16
214.0,79.07807385933553,134.92192614066448,134.92192614066448,-1,CbC,89.99999999999999,44.92192614066449,-1.300468050469305e-16,0.9459450494544631,-0.517034135464081,0.2151609532208998,0.517034135464081,0.7321950886849807,0.9459450494544632,1.1621950886849808,0.732195088684981,1.1102230246251565e-16
214.5,79.12565746323638,135.37434253676363,135.37434253676363,-1,CbC,90.00000000000003,45.374342536763585,-2.0944989726177107e-17,0.9500437513220148,-0.5211116981090621,0.21108339057591904,0.5211116981090621,0.7321950886849812,0.9500437513220148,1.1621950886849812,0.7321950886849808,0.0
215.0,79.1728908021003,135.82710919789972,135.82710919789972,-1,CbC,89.99999999999999,45.82710919789972,-1.1947348789450427e-16,0.9541777325885797,-0.5251598890667603,0.2070351996182204,0.5251598890667603,0.7321950886849806,0.9541777325885799,1.1621950886849806,0.732195088684981,1.1102230246251565e-16
